padrao;texto;usuario;sistema;ruusage;gettimeofday
61;5828;0.000000;1992.000000;1992.000000;1964.000000
20;6771;2194.000000;0.000000;2194.000000;2171.000000
4;7387;0.000000;2294.000000;2294.000000;2274.000000
39;632;75.000000;0.000000;75.000000;70.000000
13;9089;2398.000000;0.000000;2398.000000;2374.000000
59;9971;3097.000000;0.000000;3097.000000;3071.000000
52;5987;0.000000;1384.000000;1384.000000;1373.000000
59;4497;1318.000000;0.000000;1318.000000;1303.000000
40;7699;0.000000;2068.000000;2068.000000;2050.000000
52;7633;489.000000;0.000000;489.000000;485.000000
57;9956;0.000000;2661.000000;2661.000000;2639.000000
14;3709;255.000000;0.000000;255.000000;251.000000
51;7975;798.000000;0.000000;798.000000;792.000000
17;5494;0.000000;1556.000000;1556.000000;1534.000000
15;289;97.000000;0.000000;97.000000;90.000000
10;2154;867.000000;0.000000;867.000000;849.000000
24;6777;0.000000;1842.000000;1842.000000;1823.000000
50;9595;0.000000;2957.000000;2957.000000;2931.000000
21;7353;2071.000000;0.000000;2071.000000;2047.000000
43;8407;0.000000;2635.000000;2635.000000;2617.000000
36;1098;0.000000;506.000000;506.000000;486.000000
23;7270;2055.000000;0.000000;2055.000000;2033.000000
43;600;0.000000;353.000000;353.000000;334.000000
32;152;0.000000;238.000000;238.000000;216.000000
33;3296;1167.000000;0.000000;1167.000000;1141.000000
56;1072;0.000000;532.000000;532.000000;507.000000
9;5975;2409.000000;0.000000;2409.000000;2392.000000
6;8146;797.000000;0.000000;797.000000;790.000000
15;645;369.000000;0.000000;369.000000;349.000000
3;8763;0.000000;1003.000000;1003.000000;996.000000
64;3234;1109.000000;0.000000;1109.000000;1090.000000
59;4159;0.000000;1396.000000;1396.000000;1378.000000
7;7625;0.000000;3333.000000;3333.000000;3310.000000
49;9022;0.000000;2906.000000;2906.000000;2886.000000
24;1266;607.000000;0.000000;607.000000;588.000000
15;6198;0.000000;2015.000000;2015.000000;2032.000000
49;7291;1936.000000;0.000000;1936.000000;1918.000000
28;6770;862.000000;0.000000;862.000000;855.000000
25;7020;0.000000;2213.000000;2213.000000;2184.000000
26;658;0.000000;396.000000;396.000000;377.000000
1;5894;0.000000;1929.000000;1929.000000;1911.000000
9;6303;2035.000000;0.000000;2035.000000;2014.000000
22;5990;0.000000;2111.000000;2111.000000;2093.000000
47;7964;999.000000;0.000000;999.000000;992.000000
14;1015;479.000000;0.000000;479.000000;454.000000
23;6798;0.000000;2433.000000;2433.000000;2414.000000
47;6440;0.000000;2432.000000;2432.000000;2412.000000
26;4689;1544.000000;0.000000;1544.000000;1525.000000
44;961;0.000000;466.000000;466.000000;448.000000
15;5078;0.000000;1619.000000;1619.000000;1594.000000
1;7482;2620.000000;0.000000;2620.000000;2591.000000
43;6571;787.000000;0.000000;787.000000;781.000000
25;7240;2419.000000;0.000000;2419.000000;2389.000000
8;771;422.000000;0.000000;422.000000;404.000000
53;5644;0.000000;1758.000000;1758.000000;1739.000000
56;9797;0.000000;2564.000000;2564.000000;2543.000000
62;9009;916.000000;0.000000;916.000000;909.000000
4;5665;1731.000000;0.000000;1731.000000;1713.000000
6;2695;981.000000;0.000000;981.000000;955.000000
45;1677;670.000000;0.000000;670.000000;650.000000
48;2794;973.000000;0.000000;973.000000;954.000000
30;7703;1035.000000;0.000000;1035.000000;1039.000000
44;7040;715.000000;0.000000;715.000000;710.000000
48;2857;0.000000;1007.000000;1007.000000;989.000000
9;9152;1118.000000;0.000000;1118.000000;1111.000000
13;6701;0.000000;2108.000000;2108.000000;2088.000000
16;4908;0.000000;1617.000000;1617.000000;1600.000000
17;6153;0.000000;1930.000000;1930.000000;1912.000000
36;366;0.000000;319.000000;319.000000;300.000000
11;6415;447.000000;0.000000;447.000000;440.000000
12;8707;824.000000;0.000000;824.000000;819.000000
42;4675;0.000000;1509.000000;1509.000000;1490.000000
64;2175;0.000000;825.000000;825.000000;806.000000
55;3446;1210.000000;0.000000;1210.000000;1191.000000
1;1405;543.000000;0.000000;543.000000;524.000000
43;7037;0.000000;2216.000000;2216.000000;2190.000000
53;9249;1150.000000;0.000000;1150.000000;1142.000000
27;179;0.000000;238.000000;238.000000;218.000000
8;8692;1036.000000;0.000000;1036.000000;1030.000000
27;3524;1176.000000;0.000000;1176.000000;1155.000000
58;7582;0.000000;2357.000000;2357.000000;2335.000000
13;1180;0.000000;554.000000;554.000000;536.000000
